Year,Category,Title,Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Note
2004,FRUIT,Dessert Apples,Worcester Pearmain,2nd,$/kg,,,,,,,,0.55,0.34,0.37,,,
2004,FRUIT,Dessert Apples,Worcester Pearmain,Ave,$/kg,,,,,,,,,0.48,0.4,,,
2004,FRUIT,Dessert Apples,Red Pippin,1st,$/kg,,0.46,,,,,,,,0.47,,,
2004,FRUIT,Dessert Apples,Red Pippin,2nd,$/kg,,,,0.22,,,,,,,,,
2004,FRUIT,Dessert Apples,Red Pippin,Ave,$/kg,,,,,,,,,,,,,
2004,FRUIT,Dessert Apples,Gala,1st,$/kg,0.52,0.52,0.5,0.48,,,,,0.5,0.45,0.45,0.48,
2004,FRUIT,Dessert Apples,Gala,2nd,$/kg,0.42,0.4,0.37,0.44,,,,,,0.34,0.3,0.29,
2004,FRUIT,Dessert Apples,Gala,Ave,$/kg,0.51,0.46,0.44,0.47,,,,,,0.44,0.43,0.44,
2004,FRUIT,Dessert Apples,Other Early Season,-,$/kg,,,,,,,0.5,0.3,0.55,0.51,0.44,,
2004,FRUIT,Dessert Apples,Other Mid Season,-,$/kg,,0.57,,,,,,,0.51,0.44,0.55,,
2004,FRUIT,Dessert Apples,Other Late Season,-,$/kg,0.46,0.42,0.49,0.44,,,,,,0.44,0.51,0.49,
2004,FRUIT,Dessert Apples,Jonogold - group,1st,$/kg,0.5,0.39,0.49,0.41,0.39,0.36,0.49,0.37,0.33,0.4,0.35,0.44,
2004,FRUIT,Dessert Apples,Jonogold - group,2nd,$/kg,,0.5,,,,,0.42,,,,,0.39,
2004,FRUIT,Dessert Apples,Jonogold - group,Ave,$/kg,,0.41,,,,,0.46,,,,,0.43,
2004,FRUIT,Dessert Apples,Katy,1st,$/kg,,,,,,,,0.58,0.42,,,,
2004,FRUIT,Dessert Apples,Katy,2nd,$/kg,,,,,,,,0.44,0.41,,,,
2004,FRUIT,Dessert Apples,Katy,Ave,$/kg,,,,,,,,0.51,0.42,,,,
2004,FRUIT,Gooseberries,All Varieties,-,$/kg,,,,,,1.76,1.35,5.75,,,,,
2004,FRUIT,Pears,Conference,1st,$/kg,0.52,0.5,0.53,0.44,0.48,,,0.58,0.48,0.43,0.44,0.46,
2004,FRUIT,Pears,Conference,2nd,$/kg,0.36,0.34,0.34,0.35,,0.41,,0.39,0.37,0.31,0.27,0.29,
2004,FRUIT,Pears,Conference,Ave,$/kg,0.44,0.42,0.41,0.38,,,,0.58,0.47,0.38,0.37,0.38,
2004,FRUIT,Pears,Doyenne Du Comice,1st,$/kg,0.61,0.61,,,,,,,0.49,0.48,0.49,0.51,
2004,FRUIT,Pears,Doyenne Du Comice,2nd,$/kg,0.4,0.43,,,,,,,,0.35,0.3,0.31,
2004,FRUIT,Pears,Doyenne Du Comice,Ave,$/kg,0.56,0.51,,,,,,,,0.45,0.42,0.46,
2004,FRUIT,Pears,William's Bon Chretien,1st,$/kg,,,,,,,,0.55,0.37,,,,
2004,FRUIT,Pears,William's Bon Chretien,2nd,$/kg,,,,,,,,0.44,0.41,,,,
2004,FRUIT,Pears,William's Bon Chretien,Ave,$/kg,,,,,,,,0.55,0.37,,,,
2004,FRUIT,Pears,Other,1st,$/kg,0.42,,,,,,,,0.44,0.27,0.39,,
2004,FRUIT,Pears,Other,2nd,$/kg,0.31,,,0.38,,,,,0.26,0.39,,,
2004,FRUIT,Pears,Other,Ave,$/kg,0.38,,,,,,,,0.38,0.3,,,
2004,FRUIT,Plums and Gages,Czar,1st,$/kg,,,,,,,0.61,0.6,,,,,
2004,FRUIT,Plums and Gages,Czar,2nd,$/kg,,,,,,,,0.5,,,,,
2004,FRUIT,Plums and Gages,Czar,Ave,$/kg,,,,,,,,0.59,,,,,
2004,FRUIT,Plums and Gages,Majorie's Seedling,1st,$/kg,,,,,,,,0.94,0.59,0.61,,,
2004,FRUIT,Plums and Gages,Majorie's Seedling,2nd,$/kg,,,,,,,,0.71,0.43,0.42,,,
2004,FRUIT,Plums and Gages,Majorie's Seedling,Ave,$/kg,,,,,,,,0.82,0.55,0.47,,,
2004,FRUIT,Plums and Gages,Victoria,1st,$/kg,,,,,,,,0.86,0.62,,,,
2004,FRUIT,Plums and Gages,Victoria,2nd,$/kg,,,,,,,,0.59,0.45,0.37,,,
2004,FRUIT,Plums and Gages,Victoria,Ave,$/kg,,,,,,,,0.77,0.55,,,,
2004,FRUIT,Plums and Gages,Other Varieties,-,$/kg,,,,,,,0.65,0.6,0.52,0.53,,,
2004,FRUIT,Raspberries,All Varieties,-,$/kg,,,,,9.43,6.65,3.93,5.3,5.19,7.26,12.2,,
2004,FRUIT,Redcurrants,All Varieties,-,$/kg,,,,,,,3.08,6.4,6.4,,,,
2004,FRUIT,Strawberries,All Varieties,1st,$/kg,,,,1.82,2.56,1.75,1.92,1.8,1.63,2.37,3.06,2.31,
2004,FRUIT,Strawberries,All Varieties,2nd,$/kg,,,,1.48,1.18,0.94,1.08,0.85,0.86,1.28,2.8,,
2004,FRUIT,Strawberries,All Varieties,Ave,$/kg,,,,1.57,1.61,1.31,1.56,1.36,1.33,2.02,3.04,,
2004,VEGETABLES,Asparagus,All Varieties,1st,$/kg,,,,4.05,3.55,3.06,,,,,,,
2004,VEGETABLES,Asparagus,All Varieties,2nd,$/kg,,,,5.03,2.45,2.09,,,,,,,
2004,VEGETABLES,Asparagus,All Varieties,Ave,$/kg,,,,4.07,3.5,2.95,,,,,,,
2004,VEGETABLES,Aubergine,All Varieties,1st,$/kg,,,5.19,5.14,4.41,3.26,3.82,3.86,4.91,6.5,,,
